Iteration,Herbe,Arbres,Sauterelle,Souris,Serval,Suricate,Caracal,Guepard,Zebre,Pantherenoire,Topi,Gazelle,Lion,Gnou,Pangolin,Orycterope,Termite,Hyene,Phacochere,Fourmi,Girafe,Elephant,Vautour
49,1477631.25,1072484.63,562994.38,231619.83,15752.92,36481.54,11028.55,8512.36,168898.30,6301.17,76610.49,140748.59,9264.79,107248.48,6617.13,6080.26,7388.16,1158.10,2432.10,1034342.19,19152.62,8822.84,8512.36
50,1489452.25,1078919.50,566935.31,232314.69,15768.68,36627.47,11050.60,8546.41,170080.58,6307.47,76993.55,141733.83,9292.58,107891.98,6630.36,6104.58,7447.26,1161.57,2441.83,1042616.94,19248.39,8840.49,8546.41
51,1501367.88,1085393.00,570903.88,233011.63,15784.44,36773.98,11072.70,8580.60,171271.14,6313.78,77378.52,142725.97,9320.46,108539.33,6643.62,6129.00,7506.84,1165.06,2451.60,1050957.88,19344.63,8858.17,8580.60
52,1513378.88,1091905.38,574900.19,233710.66,15800.23,36921.08,11094.85,8614.92,172470.03,6320.09,77765.41,143725.05,9348.42,109190.56,6656.91,6153.51,7566.90,1168.55,2461.40,1059365.50,19441.35,8875.88,8614.92
53,1525485.88,1098456.75,578924.50,234411.78,15816.03,37068.76,11117.04,8649.38,173677.33,6326.41,78154.23,144731.13,9376.47,109845.70,6670.23,6178.13,7627.43,1172.06,2471.25,1067840.38,19538.56,8893.63,8649.38
54,1537689.75,1105047.50,582977.00,235115.02,15831.84,37217.04,11139.27,8683.98,174893.06,6332.74,78545.01,145744.25,9404.60,110504.78,6683.57,6202.84,7688.45,1175.57,2481.14,1076383.13,19636.25,8911.42,8683.98
55,1549991.25,1111677.75,587057.81,235820.36,15847.68,37365.90,11161.55,8718.71,176117.31,6339.07,78937.73,146764.45,9432.81,111167.81,6696.93,6227.65,7749.96,1179.10,2491.06,1084994.25,19734.43,8929.25,8718.71
56,1562391.13,1118347.88,591167.19,236527.83,15863.52,37515.37,11183.88,8753.59,177350.14,6345.41,79332.42,147791.80,9461.11,111834.82,6710.33,6252.56,7811.96,1182.64,2501.02,1093674.25,19833.11,8947.10,8753.59
57,1574890.25,1125058.00,595305.38,237237.41,15879.39,37665.43,11206.24,8788.60,178591.59,6351.75,79729.09,148826.34,9489.49,112505.83,6723.75,6277.57,7874.45,1186.19,2511.03,1102423.63,19932.27,8965.00,8788.60
58,1587489.38,1131808.38,599472.50,237949.13,15895.27,37816.09,11228.66,8823.76,179841.73,6358.11,80127.73,149868.13,9517.96,113180.86,6737.20,6302.68,7937.45,1189.75,2521.07,1111243.00,20031.93,8982.93,8823.76
59,1600189.25,1138599.25,603668.81,238662.97,15911.16,37967.36,11251.11,8859.05,181100.63,6364.46,80528.38,150917.20,9546.52,113859.95,6750.67,6327.89,8000.95,1193.31,2531.16,1120133.00,20132.09,9000.89,8859.05
60,1612990.75,1145430.88,607894.50,239378.95,15927.07,38119.23,11273.61,8894.49,182368.33,6370.83,80931.02,151973.63,9575.16,114543.10,6764.17,6353.20,8064.96,1196.89,2541.28,1129094.13,20232.75,9018.90,8894.49
